scen_id,src_node,node_id,peak_conc,t_peak_min,mean_flow_m3s,mean_vel_ms,detected
0001,J4,J1,0.0,,0.0,0.0,0
0001,J4,J5,26857.4794,143.0,6.5e-05,0.0,1
0001,J4,J2,0.0,,0.0,0.0,0
0001,J4,J11,22194.4706,403.0,2.8e-05,0.0,1
0001,J4,J3,0.0,,0.0,0.0,0
0001,J4,J4,28038.1944,112.0,6.1e-05,0.0,1
0001,J4,J6,25211.5268,254.0,7e-05,0.0,1
0001,J4,J7,0.0,,0.0,0.0,0
0001,J4,J8,25210.2969,255.0,6.5e-05,0.0,1
0001,J4,J9,24987.284,376.0,6.4e-05,0.0,1
0001,J4,J10,22982.3608,391.0,5.3e-05,0.0,1
0001,J4,SU1,0.0,,4e-05,0.0,0
0001,J4,J_out,0.0,,0.0,0.0,0
0001,J4,O2,0.0,,0.0,0.0,0
0002,J_out,J1,0.0,,0.0,0.0,0
0002,J_out,J5,0.0,,0.0,0.0,0
0002,J_out,J2,0.0,,0.0,0.0,0
0002,J_out,J11,0.0,,0.0,0.0,0
0002,J_out,J3,0.0,,0.0,0.0,0
0002,J_out,J4,0.0,,0.0,0.0,0
0002,J_out,J6,0.0,,0.0,0.0,0
0002,J_out,J7,0.0,,0.0,0.0,0
0002,J_out,J8,0.0,,0.0,0.0,0
0002,J_out,J9,0.0,,0.0,0.0,0
0002,J_out,J10,0.0,,0.0,0.0,0
0002,J_out,SU1,0.0,,0.0,0.0,0
0002,J_out,J_out,1449.8051,247.0,0.000131,0.0,1
0002,J_out,O2,1449.8051,396.0,0.000131,0.0,1
0003,J9,J1,0.0,,0.0,0.0,0
0003,J9,J5,0.0,,0.0,0.0,0
0003,J9,J2,0.0,,0.0,0.0,0
0003,J9,J11,21057.7875,220.0,6.9e-05,0.0,1
0003,J9,J3,0.0,,0.0,0.0,0
0003,J9,J4,0.0,,0.0,0.0,0
0003,J9,J6,0.0,,0.0,0.0,0
0003,J9,J7,0.0,,0.0,0.0,0
0003,J9,J8,0.0,,0.0,0.0,0
0003,J9,J9,25340.1361,179.0,7.9e-05,0.0,1
0003,J9,J10,22806.6997,208.0,7.6e-05,0.0,1
0003,J9,SU1,0.0,,0.000108,0.0,0
0003,J9,J_out,0.0,,2e-06,0.0,0
0003,J9,O2,0.0,,2e-06,0.0,0
0004,J7,J1,0.0,,0.0,0.0,0
0004,J7,J5,0.0,,0.0,0.0,0
0004,J7,J2,0.0,,0.0,0.0,0
0004,J7,J11,734.9948,850.0,9.7e-05,0.0,1
0004,J7,J3,0.0,,0.0,0.0,0
0004,J7,J4,0.0,,0.0,0.0,0
0004,J7,J6,811.9437,555.0,9.7e-05,0.0,1
0004,J7,J7,816.9935,425.0,9.6e-05,0.0,1
0004,J7,J8,811.5963,556.0,9.9e-05,0.0,1
0004,J7,J9,799.0831,731.0,0.000101,0.0,1
0004,J7,J10,741.2778,765.0,0.000102,0.0,1
0004,J7,SU1,589.0736,884.0,9.6e-05,0.0,1
0004,J7,J_out,589.0736,885.0,3e-06,0.0,1
0004,J7,O2,577.2116,906.0,3e-06,0.0,1
0005,J2,J1,0.0,,0.0,0.0,0
0005,J2,J5,0.0,,0.0,0.0,0
0005,J2,J2,798.6111,240.0,9.8e-05,0.0,1
0005,J2,J11,791.4537,293.0,9.9e-05,0.0,1
0005,J2,J3,0.0,,0.0,0.0,0
0005,J2,J4,0.0,,0.0,0.0,0
0005,J2,J6,0.0,,0.0,0.0,0
0005,J2,J7,0.0,,0.0,0.0,0
0005,J2,J8,0.0,,0.0,0.0,0
0005,J2,J9,0.0,,0.0,0.0,0
0005,J2,J10,0.0,,0.0,0.0,0
0005,J2,SU1,0.0,,0.001823,0.0,0
0005,J2,J_out,0.0,,0.000396,0.0,0
0005,J2,O2,0.0,,0.000392,0.0,0
0006,J2,J1,0.0,,0.0,0.0,0
0006,J2,J5,0.0,,0.0,0.0,0
0006,J2,J2,8947.0284,218.0,9.8e-05,0.0,1
0006,J2,J11,8872.9172,274.0,9.9e-05,0.0,1
0006,J2,J3,0.0,,0.0,0.0,0
0006,J2,J4,0.0,,0.0,0.0,0
0006,J2,J6,0.0,,0.0,0.0,0
0006,J2,J7,0.0,,0.0,0.0,0
0006,J2,J8,0.0,,0.0,0.0,0
0006,J2,J9,0.0,,0.0,0.0,0
0006,J2,J10,0.0,,0.0,0.0,0
0006,J2,SU1,0.0,,0.00183,0.0,0
0006,J2,J_out,0.0,,0.000384,0.0,0
0006,J2,O2,0.0,,0.00038,0.0,0
0007,J1,J1,41872.428,414.0,8.5e-05,2e-06,1
0007,J1,J5,40513.5908,456.0,8.9e-05,0.0,1
0007,J1,J2,0.0,,0.0,0.0,0
0007,J1,J11,34778.7958,924.0,0.000106,0.0,1
0007,J1,J3,0.0,,0.0,0.0,0
0007,J1,J4,0.0,,0.0,0.0,0
0007,J1,J6,37749.2145,599.0,0.0001,0.0,1
0007,J1,J7,0.0,,0.0,0.0,0
0007,J1,J8,37749.2145,764.0,0.000106,0.0,1
0007,J1,J9,37587.4379,861.0,0.000108,0.0,1
0007,J1,J10,35150.3154,884.0,0.000111,0.0,1
0007,J1,SU1,25643.3071,880.0,0.000107,0.0,1
0007,J1,J_out,25643.3071,881.0,3e-06,0.0,1
0007,J1,O2,25221.6302,899.0,3e-06,0.0,1
0008,J10,J1,0.0,,0.0,0.0,0
0008,J10,J5,0.0,,0.0,0.0,0
0008,J10,J2,0.0,,0.0,0.0,0
0008,J10,J11,8214.9614,274.0,8.6e-05,0.0,1
0008,J10,J3,0.0,,0.0,0.0,0
0008,J10,J4,0.0,,0.0,0.0,0
0008,J10,J6,0.0,,0.0,0.0,0
0008,J10,J7,0.0,,0.0,0.0,0
0008,J10,J8,0.0,,0.0,0.0,0
0008,J10,J9,0.0,,0.0,0.0,0
0008,J10,J10,8216.62,58.0,9.1e-05,0.0,1
0008,J10,SU1,0.0,,0.000139,0.0,0
0008,J10,J_out,0.0,,4e-06,0.0,0
0008,J10,O2,0.0,,4e-06,0.0,0
0009,J8,J1,0.0,,0.0,0.0,0
0009,J8,J5,0.0,,0.0,0.0,0
0009,J8,J2,0.0,,0.0,0.0,0
0009,J8,J11,10625.3983,284.0,6.9e-05,0.0,1
0009,J8,J3,0.0,,0.0,0.0,0
0009,J8,J4,0.0,,0.0,0.0,0
0009,J8,J6,0.0,,0.0,0.0,0
0009,J8,J7,0.0,,0.0,0.0,0
0009,J8,J8,11275.8945,36.0,8.7e-05,0.0,1
0009,J8,J9,11210.0838,117.0,8.9e-05,0.0,1
0009,J8,J10,10634.1782,160.0,8.5e-05,0.0,1
0009,J8,SU1,0.0,,0.00011,0.0,0
0009,J8,J_out,0.0,,2e-06,0.0,0
0009,J8,O2,0.0,,2e-06,0.0,0
0010,J9,J1,0.0,,0.0,0.0,0
0010,J9,J5,0.0,,0.0,0.0,0
0010,J9,J2,0.0,,0.0,0.0,0
0010,J9,J11,602.1676,398.0,0.000125,0.0,1
0010,J9,J3,0.0,,0.0,0.0,0
0010,J9,J4,0.0,,0.0,0.0,0
0010,J9,J6,0.0,,0.0,0.0,0
0010,J9,J7,0.0,,0.0,0.0,0
0010,J9,J8,0.0,,0.0,0.0,0
0010,J9,J9,613.6951,241.0,0.000131,0.0,1
0010,J9,J10,605.4739,395.0,0.000129,0.0,1
0010,J9,SU1,0.0,,0.000182,0.0,0
0010,J9,J_out,0.0,,1e-05,0.0,0
0010,J9,O2,0.0,,1e-05,0.0,0
0011,J1,J1,4977.8761,245.0,0.000124,3e-06,1
0011,J1,J5,4976.8876,565.0,0.000128,0.0,1
0011,J1,J2,0.0,,0.0,0.0,0
0011,J1,J11,4852.5984,1016.0,0.000145,0.0,1
0011,J1,J3,0.0,,0.0,0.0,0
0011,J1,J4,0.0,,0.0,0.0,0
0011,J1,J6,4941.3908,567.0,0.000139,0.0,1
0011,J1,J7,0.0,,0.0,0.0,0
0011,J1,J8,4941.205,580.0,0.000146,0.0,1
0011,J1,J9,4939.1327,976.0,0.000148,0.0,1
0011,J1,J10,4866.3474,984.0,0.000151,0.0,1
0011,J1,SU1,4152.1444,1001.0,0.000146,0.0,1
0011,J1,J_out,4152.1444,1002.0,6e-06,0.0,1
0011,J1,O2,4133.5627,1009.0,6e-06,0.0,1
0012,J_out,J1,0.0,,0.0,0.0,0
0012,J_out,J5,0.0,,0.0,0.0,0
0012,J_out,J2,0.0,,0.0,0.0,0
0012,J_out,J11,0.0,,0.0,0.0,0
0012,J_out,J3,0.0,,0.0,0.0,0
0012,J_out,J4,0.0,,0.0,0.0,0
0012,J_out,J6,0.0,,0.0,0.0,0
0012,J_out,J7,0.0,,0.0,0.0,0
0012,J_out,J8,0.0,,0.0,0.0,0
0012,J_out,J9,0.0,,0.0,0.0,0
0012,J_out,J10,0.0,,0.0,0.0,0
0012,J_out,SU1,0.0,,0.0,0.0,0
0012,J_out,J_out,10486.6494,202.0,0.000111,0.0,1
0012,J_out,O2,10486.649,280.0,0.000111,0.0,1
0013,J10,J1,0.0,,0.0,0.0,0
0013,J10,J5,0.0,,0.0,0.0,0
0013,J10,J2,0.0,,0.0,0.0,0
0013,J10,J11,5925.9118,579.0,0.000126,0.0,1
0013,J10,J3,0.0,,0.0,0.0,0
0013,J10,J4,0.0,,0.0,0.0,0
0013,J10,J6,0.0,,0.0,0.0,0
0013,J10,J7,0.0,,0.0,0.0,0
0013,J10,J8,0.0,,0.0,0.0,0
0013,J10,J9,0.0,,0.0,0.0,0
0013,J10,J10,5925.9259,313.0,0.000127,0.0,1
0013,J10,SU1,0.0,,0.000196,0.0,0
0013,J10,J_out,0.0,,1.6e-05,0.0,0
0013,J10,O2,0.0,,1.6e-05,0.0,0
0014,J11,J1,0.0,,0.0,0.0,0
0014,J11,J5,0.0,,0.0,0.0,0
0014,J11,J2,0.0,,0.0,0.0,0
0014,J11,J11,3716.3876,19.0,0.000116,0.0,1
0014,J11,J3,0.0,,0.0,0.0,0
0014,J11,J4,0.0,,0.0,0.0,0
0014,J11,J6,0.0,,0.0,0.0,0
0014,J11,J7,0.0,,0.0,0.0,0
0014,J11,J8,0.0,,0.0,0.0,0
0014,J11,J9,0.0,,0.0,0.0,0
0014,J11,J10,0.0,,0.0,0.0,0
0014,J11,SU1,0.0,,0.002294,0.0,0
0014,J11,J_out,0.0,,0.000458,0.0,0
0014,J11,O2,0.0,,0.000453,0.0,0
0015,J2,J1,0.0,,0.0,0.0,0
0015,J2,J5,0.0,,0.0,0.0,0
0015,J2,J2,3227.5132,33.0,8e-05,0.0,1
0015,J2,J11,3217.2143,280.0,7.8e-05,0.0,1
0015,J2,J3,0.0,,0.0,0.0,0
0015,J2,J4,0.0,,0.0,0.0,0
0015,J2,J6,0.0,,0.0,0.0,0
0015,J2,J7,0.0,,0.0,0.0,0
0015,J2,J8,0.0,,0.0,0.0,0
0015,J2,J9,0.0,,0.0,0.0,0
0015,J2,J10,0.0,,0.0,0.0,0
0015,J2,SU1,0.0,,0.001518,0.0,0
0015,J2,J_out,0.0,,0.00021,0.0,0
0015,J2,O2,0.0,,0.000206,0.0,0
0016,J2,J1,0.0,,0.0,0.0,0
0016,J2,J5,0.0,,0.0,0.0,0
0016,J2,J2,6498.9518,104.0,7.3e-05,0.0,1
0016,J2,J11,6265.3623,136.0,7.2e-05,0.0,1
0016,J2,J3,0.0,,0.0,0.0,0
